Year,Semester,Quiz/Exam,Student ID,Coding Problem,Earned Score,Maximum Score,Distance,Distance Z-score
2013,spring,quiz2,s5bd13671,GrowingSquares,7,7,27.642857142857142,1.4556335135200302
2013,spring,quiz2,s663f70e4,GrowingSquares,7,7,27.714285714285715,1.472866743751128
2013,spring,quiz2,s6c8bfc2f,GrowingSquares,7,7,20.642857142857142,-0.2332230491275181
2013,spring,quiz2,s7ccd28a3,GrowingSquares,7,7,22.357142857142858,0.1803744764188204
2013,spring,quiz2,s81792444,GrowingSquares,7,7,16.785714285714285,-1.1638174816067797
2013,spring,quiz2,s9c94a8aa,GrowingSquares,7,7,22.928571428571427,0.3182403182675994
2013,spring,quiz2,sc2ea6ca8,GrowingSquares,7,7,17.928571428571427,-0.8880857979092208
2013,spring,quiz2,sd9363351,GrowingSquares,7,7,16.642857142857142,-1.1982839420689744
2013,spring,quiz2,sddb081b4,GrowingSquares,7,7,16.428571428571427,-1.2499836327622669
2013,spring,quiz2,sef55ce71,GrowingSquares,7,7,23.357142857142858,0.4216396996541844
2013,spring,quiz2,sfed34002,GrowingSquares,7,7,17.785714285714285,-0.9225522583714156
2013,fall,quiz2,s185bfebd,GrowingStairs,7,7,23.06896551724138,0.5512295832380241
2013,fall,quiz2,s1ca6c9e5,GrowingStairs,7,7,46.93103448275862,5.039781921579084
2013,fall,quiz2,s1e11464e,GrowingStairs,7,7,19.96551724137931,-0.0325416746387038
2013,fall,quiz2,s1f23c370,GrowingStairs,7,7,20.155172413793103,0.003133235564874
2013,fall,quiz2,s2f86ca57,GrowingStairs,7,7,16.25862068965517,-0.7298240104359063
2013,fall,quiz2,s3551f054,GrowingStairs,7,7,17.103448275862068,-0.5709085013472416
2013,fall,quiz2,s372a0966,GrowingStairs,7,7,18.43103448275862,-0.3211841299221971
2013,fall,quiz2,s3752a3d2,GrowingStairs,7,7,18.43103448275862,-0.3211841299221971
2013,fall,quiz2,s3b5db8f5,GrowingStairs,7,7,17.25862068965517,-0.5417199384534053
2013,fall,quiz2,s3f27df0f,GrowingStairs,7,7,19.5,-0.1201073633202128
2013,fall,quiz2,s55ec4057,GrowingStairs,7,7,19.08620689655172,-0.1979435310371108
2013,fall,quiz2,s73d002a2,GrowingStairs,7,7,18.58620689655172,-0.2919955670283614
2013,fall,quiz2,s74c23a2a,GrowingStairs,7,7,20.155172413793103,0.003133235564874
2013,fall,quiz2,s7c1c9d2e,GrowingStairs,7,7,19.27586206896552,-0.1622686208335316
2013,fall,quiz2,s7dfc8641,GrowingStairs,7,7,19.27586206896552,-0.1622686208335316
2013,fall,quiz2,s8d81cf8b,GrowingStairs,7,7,19.08620689655172,-0.1979435310371108
2013,fall,quiz2,s985b5480,GrowingStairs,7,7,28.879310344827587,1.6441791049294523
2013,fall,quiz2,s9bd61dd,GrowingStairs,7,7,18.53448275862069,-0.3017250879929724
2013,fall,quiz2,s9c2e126f,GrowingStairs,7,7,21.75862068965517,0.3047483854678496
2013,fall,quiz2,s9fb8e2c9,GrowingStairs,7,7,19.27586206896552,-0.1622686208335316
2013,fall,quiz2,sabe62f19,GrowingStairs,7,7,20.29310344827586,0.0290786248038395
2013,fall,quiz2,sb6c9f56a,GrowingStairs,7,7,20.96551724137931,0.1555623973437972
2013,fall,quiz2,sbe8b1628,GrowingStairs,7,7,22.120689655172413,0.3728550322201346
2013,fall,quiz2,scad74c3a,GrowingStairs,7,7,46.8448275862069,5.02356605330473
2013,fall,quiz2,sce9b742f,GrowingStairs,7,7,18.91379310344828,-0.2303752675858159
2013,fall,quiz2,sd2c29562,GrowingStairs,7,7,18.17241379310345,-0.3698317347452574
2013,fall,quiz2,sd9c4ec42,GrowingStairs,7,7,19.379310344827587,-0.1428095789043076
2013,fall,quiz2,sddd4a271,GrowingStairs,7,7,17.103448275862068,-0.5709085013472416
2013,fall,quiz2,sea639169,GrowingStairs,7,7,18.24137931034483,-0.3568590401257743
2013,fall,quiz2,seeeebe19,GrowingStairs,7,7,23.79310344827586,0.6874428767425933
2013,fall,quiz2,sf1424e10,GrowingStairs,7,7,19.08620689655172,-0.1979435310371108
2013,fall,quiz2,sfc3bcc7d,GrowingStairs,7,7,19.41379310344828,-0.1363232315945654
2013,fall,quiz2,sfee6ffa8,GrowingStairs,7,7,18.24137931034483,-0.3568590401257743
2014,fall,exam2,s301c5b4,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s3d9f443f,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s414ad069,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s4fcaf3fe,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s6aee66a4,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s6cf85d26,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s6ef2661d,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s7957bc24,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s7b48c344,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s80387faa,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s8082eabf,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s9019cc55,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,s9f4e531e,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,sb254b04f,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,sbc1c354a,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,sbf1914d4,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,sc27f5411,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,sc65dd368,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,scc349e6b,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,sce46f0a0,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,sdd6461af,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,se6c844d8,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,sefe1db47,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,sf940327c,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2,sfbb08d7,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2014,fall,exam2b,sde957452,GrowingStairs,5,5,18.63793103448276,-0.2822660460637477
2013,fall,quiz4,s1ca6c9e5,Highway,5,5,18.0625,0.9235934469501056
2013,fall,quiz4,s1f00f8e9,Highway,5,5,11.375,-0.5912996819969113
2013,fall,quiz4,s1f23c370,Highway,5,5,11.375,-0.5912996819969113
2013,fall,quiz4,s2f86ca57,Highway,5,5,13.75,-0.0533002530250735
2013,fall,quiz4,s3551f054,Highway,5,5,11.375,-0.5912996819969113
2013,fall,quiz4,s3752a3d2,Highway,5,5,14.875,0.2015415817510601
2013,fall,quiz4,s3b5db8f5,Highway,5,5,10.6875,-0.7470363588045484
2013,fall,quiz4,s55ec4057,Highway,5,5,12.25,-0.3930893660599184
2013,fall,quiz4,s8d81cf8b,Highway,5,5,10.6875,-0.7470363588045484
2013,fall,quiz4,s985b5480,Highway,5,5,10.625,-0.7611942385143337
2013,fall,quiz4,s9c2e126f,Highway,5,5,10.875,-0.7045627196751929
2013,fall,quiz4,sa1918ccc,Highway,5,5,14.5,0.1165943034923489
2013,fall,quiz4,sbe8b1628,Highway,5,5,17.0,0.682909491883757
2013,fall,quiz4,scad74c3a,Highway,5,5,26.625,2.863222967190678
2013,fall,quiz4,sd2c29562,Highway,5,5,10.8125,-0.7187205993849781
2013,fall,quiz4,sef2a3ebc,Highway,5,5,11.125,-0.647931200836052
